Название модели;Ссылка на автомобиль:;Цена :;Параметры:
ToyotaRAV4V (XA50);https://av.by/toyota/rav4/102062264;100 504 р.≈ 33 800 $Лизингот 458 USD в месяц;2018 г.автомат,2.5 л,бензин,внедорожник 5 дв.42 300 км
ToyotaRAV4IV (XA40) · Рестайлинг;https://av.by/toyota/rav4/102376341;77 013 р.≈ 25 900 $Лизингот 351 USD в месяц;2017 г.вариатор,2.0 л,бензин,внедорожник 5 дв.103 000 км
ToyotaRAV4V (XA50);https://av.by/toyota/rav4/104076599;104 069 р.≈ 34 999 $Лизингот 475 USD в месяц;2019 г.автомат,2.5 л,бензин (гибрид),внедорожник 5 дв.85 000 км
ToyotaRAV4V (XA50);https://av.by/toyota/rav4/103674304;91 851 р.≈ 30 890 $Лизингот 419 USD в месяц;2019 г.автомат,2.5 л,бензин,внедорожник 5 дв.65 000 км
ToyotaRAV4V (XA50);https://av.by/toyota/rav4/103667087;99 612 р.≈ 33 500 $Лизингот 454 USD в месяц;2019 г.автомат,2.5 л,бензин (гибрид),внедорожник 5 дв.53 000 км
ToyotaRAV4III (XA30);https://av.by/toyota/rav4/103900313;35 682 р.≈ 12 000 $Лизингот 283 USD в месяц;2006 г.автомат,2.4 л,бензин (пропан-бутан),внедорожник 5 дв.355 664 км
ToyotaRAV4IV (XA40);https://av.by/toyota/rav4/103808043;61 848 р.≈ 20 800 $Лизингот 490 USD в месяц;2013 г.вариатор,2.0 л,бензин,внедорожник 5 дв.154 000 км
ToyotaRAV4IV (XA40) · Рестайлинг;https://av.by/toyota/rav4/102660796;89 202 р.≈ 29 999 $Лизингот 407 USD в месяц;2016 г.автомат,2.0 л,бензин,внедорожник 5 дв.79 467 км
ToyotaRAV4IV (XA40) · Рестайлинг;https://av.by/toyota/rav4/104280743;80 284 р.≈ 27 000 $Лизингот 366 USD в месяц;2018 г.автомат,2.5 л,бензин,внедорожник 5 дв.64 000 км
ToyotaRAV4IV (XA40) · Рестайлинг;https://av.by/toyota/rav4/103996582;77 311 р.≈ 26 000 $Лизингот 353 USD в месяц;2015 г.вариатор,2.0 л,бензин,внедорожник 5 дв.95 000 км
ToyotaRAV4V (XA50);https://av.by/toyota/rav4/100875799;113 795 р.≈ 38 270 $Лизингот 519 USD в месяц;2020 г.автомат,2.5 л,бензин,внедорожник 5 дв.34 000 км
ToyotaRAV4V (XA50);https://av.by/toyota/rav4/104280579;117 750 р.≈ 39 600 $Лизингот 537 USD в месяц;2019 г.автомат,2.5 л,бензин (гибрид),внедорожник 5 дв.79 100 км
ToyotaRAV4III (XA30) · 2-й рестайлинг;https://av.by/toyota/rav4/103673817;45 940 р.≈ 15 450 $Лизингот 364 USD в месяц;2011 г.вариатор,2.0 л,бензин,внедорожник 5 дв.162 000 км
ToyotaRAV4V (XA50);https://av.by/toyota/rav4/104076806;142 728 р.≈ 48 000 $;2022 г.вариатор,2.0 л,бензин,внедорожник 5 дв.18 500 км
ToyotaRAV4IV (XA40) · Рестайлинг;https://av.by/toyota/rav4/101869079;84 744 р.≈ 28 500 $Лизингот 386 USD в месяц;2018 г.вариатор,2.5 л,бензин (гибрид),внедорожник 5 дв.147 000 км
ToyotaRAV4V (XA50);https://av.by/toyota/rav4/103111676;124 887 р.≈ 42 000 $Лизингот 570 USD в месяц;2020 г.автомат,2.5 л,бензин,внедорожник 5 дв.9 000 км
ToyotaRAV4V (XA50);https://av.by/toyota/rav4/103892190;108 532 р.≈ 36 500 $Лизингот 495 USD в месяц;2019 г.автомат,2.5 л,бензин,внедорожник 5 дв.110 000 км
ToyotaRAV4II (XA20);https://av.by/toyota/rav4/103609524;19 922 р.≈ 6 700 $Лизингот 201 USD в месяц;2001 г.механика,2.0 л,бензин,внедорожник 5 дв.224 000 км
ToyotaRAV4II (XA20);https://av.by/toyota/rav4/104280084;19 179 р.≈ 6 450 $Лизингот 194 USD в месяц;2001 г.автомат,2.0 л,бензин,внедорожник 5 дв.1427 км
ToyotaRAV4V (XA50);https://av.by/toyota/rav4/103175497;98 125 р.≈ 33 000 $Лизингот 447 USD в месяц;2019 г.вариатор,2.0 л,бензин,внедорожник 5 дв.102 000 км
ToyotaRAV4V (XA50);https://av.by/toyota/rav4/101171201;102 288 р.≈ 34 400 $Лизингот 466 USD в месяц;2020 г.автомат,2.5 л,бензин (гибрид),внедорожник 5 дв.30 326 км
ToyotaRAV4V (XA50);https://av.by/toyota/rav4/103281865;108 532 р.≈ 36 500 $Лизингот 495 USD в месяц;2019 г.вариатор,2.0 л,бензин,внедорожник 5 дв.85 500 км
ToyotaRAV4III (XA30);https://av.by/toyota/rav4/104152300;28 842 р.≈ 9 700 $Лизингот 229 USD в месяц;2006 г.автомат,2.4 л,бензин,внедорожник 5 дв.311 193 км
ToyotaRAV4IV (XA40) · Рестайлинг;https://av.by/toyota/rav4/104280165;89 202 р.≈ 29 999 $Лизингот 407 USD в месяц;2018 г.вариатор,2.5 л,бензин (гибрид),внедорожник 5 дв.37 900 км
ToyotaRAV4IV (XA40) · Рестайлинг;https://av.by/toyota/rav4/104029389;82 663 р.≈ 27 800 $Лизингот 377 USD в месяц;2016 г.вариатор,2.0 л,бензин,внедорожник 5 дв.161 200 км
